ID,Al(at%),C(at%),Co(at%),Cr(at%),Cu(at%),Fe(at%),Mn(at%),Mo(at%),Nb(at%),Ni(at%),Ta(at%),Ti(at%),V(at%),W(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours,Processing_Description,YS(MPa),UTS(MPa),El(%)
69,0.0,0.0,33.33,33.34,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,973,0.375,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 973K for 0.375 hours,1146.0,1284.0,18.6
70,0.0,0.0,10.0,10.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,0.0,0,0.0,1173,3.0,0,0.0,Homogenization was performed at 1473K. First heat treatment was performed at 1173K for 3.0 hours,272.0,567.0,47.0
71,0.0,0.2,19.96,19.96,0.0,19.96,19.96,0.0,0.0,19.96,0.0,0.0,0.0,0.0,0,60.0,0,0.0,1173,0.05,0,0.0,followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1173K for 0.05 hours,529.0,795.0,43.6
72,5.27,0.0,18.82,17.95,0.0,19.47,20.12,0.0,0.0,18.37,0.0,0.0,0.0,0.0,1423,96.0,0,0.0,1073,1.0,0,0.0,Homogenization was performed at 1423K. followed by cold rolling to 96.0% reduction. First heat treatment was performed at 1073K for 1.0 hours,970.0,1080.0,7.9
73,1.1,0.0,1.51,25.03,0.0,19.07,0.0,5.55,0.0,47.37,0.0,0.19,0.0,0.19,1323,50.0,1394,6.0,298,0.0,0,0.0,Homogenization was performed at 1323K. followed by cold rolling to 50.0% reduction. Recrystallization was carried out at 1394K for 6.0 minutes. First heat treatment was performed at 298K,462.0,862.0,38.0
74,0.0,0.0,17.5,12.5,0.0,55.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,1423,50.0,0,0.0,1373,0.333333333,0,0.0,Homogenization was performed at 1423K. followed by cold rolling to 50.0% reduction. First heat treatment was performed at 1373K for 0.333333333 hours,309.0,630.0,71.8
75,0.0,0.0,10.0,10.0,0.0,20.0,50.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,0.0,0,0.0,0,0.0,0,0.0,Homogenization was performed at 1373K,248.0,543.0,43.0
76,4.76,0.0,8.67,16.06,0.0,0.1,0.0,2.23,0.0,62.91,0.0,5.26,0.0,0.0,1473,0.0,1398,60.0,1123,4.0,1033,16.0,Homogenization was performed at 1473K. Recrystallization was carried out at 1398K for 60.0 minutes. First heat treatment was performed at 1123K for 4.0 hours. Secondary heat treatment was conducted at 1033K for 16.0 hours,1230.0,1585.0,14.3
77,10.12,0.0,22.47,22.47,0.0,22.47,0.0,0.0,0.0,22.47,0.0,0.0,0.0,0.0,1523,70.0,0,0.0,1073,1.0,0,0.0,Homogenization was performed at 1523K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1073K for 1.0 hours,1060.0,1272.0,6.1
78,5.3,0.0,21.0,21.1,0.0,26.3,0.0,0.0,0.0,26.3,0.0,0.0,0.0,0.0,298,13.3,0,0.0,298,0.0,0,0.0,Homogenization was performed at 298K. followed by cold rolling to 13.3% reduction. First heat treatment was performed at 298K,284.0,450.0,23.8
79,6.96,0.0,23.26,23.26,0.0,23.26,0.0,0.0,0.0,23.26,0.0,0.0,0.0,0.0,1423,90.0,0,0.0,823,24.0,0,0.0,Homogenization was performed at 1423K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 823K for 24.0 hours,1850.0,1862.0,4.5
80,7.54,0.0,1.82,20.6,0.0,26.38,0.0,0.28,0.0,42.9,0.0,0.34,0.0,0.15,1394,0.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 1394K. First heat treatment was performed at 298K,328.0,732.0,47.0
81,0.0,0.0,19.89,19.88,0.0,21.04,18.39,0.0,0.0,20.8,0.0,0.0,0.0,0.0,1373,60.0,0,0.0,1173,1.0,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1173K for 1.0 hours,696.0,816.0,17.0
82,0.0,0.0,30.0,10.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1373,80.0,0,0.0,1173,0.166666667,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours,409.0,1026.0,29.3
83,1.41,0.0,0.16,20.48,0.0,19.01,0.0,1.82,3.1,52.94,0.0,1.08,0.0,0.0,1353,0.0,0,0.0,993,8.0,893,8.0,Homogenization was performed at 1353K. First heat treatment was performed at 993K for 8.0 hours. Secondary heat treatment was conducted at 893K for 8.0 hours,1306.0,1475.0,22.2
84,1.1,0.0,1.51,25.03,0.0,19.07,0.0,5.55,0.0,47.37,0.0,0.19,0.0,0.19,1323,40.0,1450,6.0,298,0.0,0,0.0,Homogenization was performed at 1323K. followed by cold rolling to 40.0% reduction. Recrystallization was carried out at 1450K for 6.0 minutes. First heat treatment was performed at 298K,317.0,758.0,48.0
85,5.2,0.0,13.85,17.42,0.0,0.2,0.0,1.69,0.0,55.84,0.0,5.8,0.0,0.0,1353,0.0,0,0.0,298,0.0,923,24.0,Homogenization was performed at 1353K. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 923K for 24.0 hours,1224.0,1616.0,26.6
86,0.0,0.0,0.0,14.29,35.71,14.29,0.0,0.0,0.0,35.71,0.0,0.0,0.0,0.0,1273,0.0,0,0.0,0,0.0,0,0.0,Homogenization was performed at 1273K,332.0,608.0,19.2
87,6.0,0.0,30.0,15.0,0.0,13.0,0.0,0.0,0.0,30.0,0.0,6.0,0.0,0.0,1423,65.0,1423,2.0,298,0.0,1073,4.0,Homogenization was performed at 1423K. followed by cold rolling to 65.0% reduction. Recrystallization was carried out at 1423K for 2.0 minutes. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 1073K for 4.0 hours,980.0,1300.0,43.0
88,0.88,0.0,1.01,23.99,0.0,5.32,0.0,5.57,0.0,62.74,0.0,0.5,0.0,0.0,1325,0.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 1325K. First heat treatment was performed at 298K,491.0,923.0,47.5
89,0.0,0.0,30.0,20.0,0.0,20.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,0.166666667,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours,470.0,746.0,55.0
90,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1273,50.0,0,0.0,923,1.0,0,0.0,Homogenization was performed at 1273K. followed by cold rolling to 50.0% reduction. First heat treatment was performed at 923K for 1.0 hours,631.0,757.0,27.0
91,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1373,50.0,0,0.0,923,1.0,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 50.0% reduction. First heat treatment was performed at 923K for 1.0 hours,625.0,855.0,50.7
