ID,Al(wt%),As(wt%),B(wt%),Bi(wt%),C(wt%),Ca(wt%),Ce(wt%),Cl(wt%),Co(wt%),Cr(wt%),Cu(wt%),F(wt%),Fe(wt%),H(wt%),La(wt%),Mg(wt%),Mn(wt%),Mo(wt%),N(wt%),Na(wt%),Nb(wt%),Ni(wt%),O(wt%),P(wt%),Pb(wt%),S(wt%),Sb(wt%),Si(wt%),Sn(wt%),Ta(wt%),Ti(wt%),V(wt%),W(wt%),Y(wt%),Zn(wt%),Zr(wt%),Processing_Description,YS(MPa),UTS(MPa),El(%)
11,0.0,0,0.0,0,0.04,0,0,0,0.0,18.5,0.0,0,80.42,0,0,0,0.13,0.0,0.05,0,0.0,0.06,0.0,0.0,0,0.0,0,0.8,0,0,0.0,0.0,0.0,0,0,0,"This material was received in the hot rolled condition and the initial microstructure consisted of equiaxed ferrite grains with mean size of 120 μm. By the proposed thermo-mechanical treatment, the microstructure was refined to an average grain size of 5 μm. Fig. 1 shows the schematic of the thermo-mechanical processing route conducted to produce fine-grained ferritic stainless steel from initial coarse-grained sample. Step 1 was the solution annealing at the temperature of 1200 °C for 7200s conducted to produce initial coarse grained microstructure with uniform chemical composition. Step 2 was the cold rolling of sample to about 90% thickness reduction to produce heavily cold worked material. Step 3 was the recrystallization annealing at 800 °C for 180 s. Also, sample was quenched immediately in water after recrystallization annealing to prevent grain growth just after recrystallization.",530.0,685.0,31.0
12,0.0,0,0.0,0,0.04,0,0,0,0.0,18.5,0.0,0,80.42,0,0,0,0.13,0.0,0.05,0,0.0,0.06,0.0,0.0,0,0.0,0,0.8,0,0,0.0,0.0,0.0,0,0,0,"This material was received in the hot rolled condition and the initial microstructure consisted of equiaxed ferrite grains with mean size of 120 μm. By the proposed thermo-mechanical treatment, the microstructure was refined to an average grain size of 5 μm. Fig. 1 shows the schematic of the thermo-mechanical processing route conducted to produce fine-grained ferritic stainless steel from initial coarse-grained sample. Step 1 was the solution annealing at the temperature of 1200 °C for 7200s conducted to produce initial coarse grained microstructure with uniform chemical composition.",224.0,430.0,68.8
13,1.32,0,0.0,0,0.05,0,0,0,0.0,12.48,0.0,0,75.41,0,0,0,0.37,1.46,0.0,0,0.09,8.4,0.0,0.0,0,0.0,0,0.12,0,0,0.0,0.3,0.0,0,0,0,"The studied hybrid additively manufactured material uses a commercial Uddeholm AISI 420 stainless steel as the substrate, and Corrax, a maraging stainless steel, printed on top.",660.0,881.0,15.2
14,0.2,0,0.0,0,0.25,0,0,0,0.0,12.72,0.0,0,84.24,0,0,0,0.55,0.23,0.0,0,0.0,1.26,0.0,0.0,0,0.0,0,0.18,0,0,0.0,0.37,0.0,0,0,0,"The studied hybrid additively manufactured material uses a commercial Uddeholm AISI 421 stainless steel as the substrate, and Corrax, a maraging stainless steel, printed on top. An EOS M290 system was used to build the ɸ12 × 120 mm Corrax steel cylinders on top of 420 under an Argon atmosphere using the laser powder bed fusion (LPBF) technique. The laser power, scanning speed, hatching distance and layer thickness were 258.7 W, 1066.7 mm/s, 100 µm, and 30 µm, respectively. The laser beam was rotated 67° between successive layers during the process. The platform temperature was kept at 80 °C during the printing process to reduce the residual stresses at the interface. The commercial heat treatment of 420 steel includes austenitization at 1010–1030 °C followed by tempering at 230–300 °C, while the heat treatment of Corrax includes austenitization at approximately 900 °C followed by aging at 500–550 °C. In this work, we examined combinations of austenitization and aging temperatures and concluded that a hybrid heat treatment cycle in an Argon atmosphere optimizes mechanical properties and compatibility between 420 and Corrax steels. We chose the 420 austenitization temperature and the Corrax aging temperature as described in the following. The hybrid steel was heated at 15 °C/min to the maximum temperature of 1010 °C and then held for 30 min, followed by quenching with high-pressure Argon, to obtain a fully martensitic matrix. Afterward, aging of the Corrax steel was performed at 5",1291.0,1481.0,9.4
15,0.08,0,0.0,0,0.099,0,0,0,0.0,0.021,0.014,0,96.87,0,0,0,1.664,0.816,0.0,0,0.061,0.022,0.0,0.018,0,0.005,0,0.26,0,0,0.02,0.05,0.0,0,0,0," Besides, the ductility of the investigated steels can be improved thanks to the application of annealing, which turns the deformation-induced substructure into stable ultra-fine grains . In this study, a commercial SAE 970X microalloyed steel was subjected to different controlled rolling processes followed by air cooling to room temperature. A commercial SAE 970X steel plate, which was industrially hot-rolled after casting, was investigated. The chemical composition was determined by optical emission spectrometry (Shimadzu, PDA-7000); see Table 1.",511.0,615.0,16.3
16,0.08,0,0.0,0,0.099,0,0,0,0.0,0.021,0.014,0,96.87,0,0,0,1.664,0.816,0.0,0,0.061,0.022,0.0,0.018,0,0.005,0,0.26,0,0,0.02,0.05,0.0,0,0,0," Besides, the ductility of the investigated steels can be improved thanks to the application of annealing, which turns the deformation-induced substructure into stable ultra-fine grains . In this study, a commercial SAE 970X microalloyed steel was subjected to different controlled rolling processes followed by air cooling to room temperature. A commercial SAE 970X steel plate, which was industrially hot-rolled after casting, was investigated. The chemical composition was determined by optical emission spectrometry (Shimadzu, PDA-7000); see Table 1. Initial thickness (mm) 15±0.05 Start rolling temperature (°C) 1100±20 Thickness (mm) 11±0.05 FRT (°C) 1060±20 Thickness (mm) 8±0.05 FRT (°C) 1040±20 Thickness (mm) 5±0.05 FRT (°C) 1000±20",548.0,611.0,12.8
17,0.08,0,0.0,0,0.099,0,0,0,0.0,0.021,0.014,0,96.87,0,0,0,1.664,0.816,0.0,0,0.061,0.022,0.0,0.018,0,0.005,0,0.26,0,0,0.02,0.05,0.0,0,0,0," Besides, the ductility of the investigated steels can be improved thanks to the application of annealing, which turns the deformation-induced substructure into stable ultra-fine grains . In this study, a commercial SAE 970X microalloyed steel was subjected to different controlled rolling processes followed by air cooling to room temperature. A commercial SAE 970X steel plate, which was industrially hot-rolled after casting, was investigated. The chemical composition was determined by optical emission spectrometry (Shimadzu, PDA-7000); see Table 1. Initial thickness (mm) 15±0.05 Start rolling temperature (°C) 980±20 Thickness (mm) 11±0.05 FRT (°C) 955±20 Thickness (mm) 8±0.05 FRT (°C) 905±20 Thickness (mm) 5±0.05 FRT (°C) 865±20",538.0,637.0,20.3
18,0.08,0,0.0,0,0.099,0,0,0,0.0,0.021,0.014,0,96.87,0,0,0,1.664,0.816,0.0,0,0.061,0.022,0.0,0.018,0,0.005,0,0.26,0,0,0.02,0.05,0.0,0,0,0," Besides, the ductility of the investigated steels can be improved thanks to the application of annealing, which turns the deformation-induced substructure into stable ultra-fine grains . In this study, a commercial SAE 970X microalloyed steel was subjected to different controlled rolling processes followed by air cooling to room temperature. A commercial SAE 970X steel plate, which was industrially hot-rolled after casting, was investigated. The chemical composition was determined by optical emission spectrometry (Shimadzu, PDA-7000); see Table 1. Initial thickness (mm) 15±0.05 Start rolling temperature (°C) 835±20 Thickness (mm) 11±0.05 FRT (°C) 795±20 Thickness (mm) 8±0.05 FRT (°C) 785±20 Thickness (mm) 5±0.05 FRT (°C) 750±20",553.0,713.0,17.4
19,0.08,0,0.0,0,0.099,0,0,0,0.0,0.021,0.014,0,96.87,0,0,0,1.664,0.816,0.0,0,0.061,0.022,0.0,0.018,0,0.005,0,0.26,0,0,0.02,0.05,0.0,0,0,0," Besides, the ductility of the investigated steels can be improved thanks to the application of annealing, which turns the deformation-induced substructure into stable ultra-fine grains . In this study, a commercial SAE 970X microalloyed steel was subjected to different controlled rolling processes followed by air cooling to room temperature. A commercial SAE 970X steel plate, which was industrially hot-rolled after casting, was investigated. The chemical composition was determined by optical emission spectrometry (Shimadzu, PDA-7000); see Table 1. Initial thickness (mm) 15±0.05 Start rolling temperature (°C) 780±20 Thickness (mm) 11±0.05 FRT (°C) 720±20 Thickness (mm) 8±0.05 FRT (°C) 700±20 Thickness (mm) 5±0.05 FRT (°C) 680±20",423.0,698.0,19.2
20,0.08,0,0.0,0,0.099,0,0,0,0.0,0.021,0.014,0,96.87,0,0,0,1.664,0.816,0.0,0,0.061,0.022,0.0,0.018,0,0.005,0,0.26,0,0,0.02,0.05,0.0,0,0,0," Besides, the ductility of the investigated steels can be improved thanks to the application of annealing, which turns the deformation-induced substructure into stable ultra-fine grains . In this study, a commercial SAE 970X microalloyed steel was subjected to different controlled rolling processes followed by air cooling to room temperature. A commercial SAE 970X steel plate, which was industrially hot-rolled after casting, was investigated. The chemical composition was determined by optical emission spectrometry (Shimadzu, PDA-7000); see Table 1. Initial thickness (mm) 15±0.05 Start rolling temperature (°C) 850±20 Thickness (mm) 11±0.05 FRT (°C) 850±20 Thickness (mm) 8±0.05 FRT (°C) 850±20 Thickness (mm) 5±0.05 FRT (°C) 850±20",594.0,682.0,17.9
21,1.1,0,0.0,0,0.12,0,0,0,0.0,0.0,0.0,0,93.63,0,0,0,4.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.55,0,0,0.0,0.0,0.0,0,0,0,"Table I shows the chemical compositions of the investigated alloys. Vacuum-induction-melted ingots with dimensions of 300 × 150 × 50 mm were reheated to 1200 °C for 2 hours and hot rolled with a finishing temperature above 800 °C, followed by air cooling to room temperature. The thickness of the hot-rolled sheets was 4.5 mm. They were pickled in a 10 pct HCl solution and then cold rolled to a thickness of 1 mm. The cold-rolled sheets were annealed using an infrared heating furnace, with heating and cooling rates of 10 °C/s. The intercritical annealing temperatures of 660 °C for the L-Al alloy, taking into account the calculated equilibrium austenite fraction. The holding time at each annealing temperature was 2 minutes. Specimens were prepared by mechanical polishing followed by chemical polishing in a 10 pct HF+H2O2 solution.",936.0,988.0,16.7
22,1.1,0,0.0,0,0.12,0,0,0,0.0,0.0,0.0,0,93.63,0,0,0,4.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.55,0,0,0.0,0.0,0.0,0,0,0,"Table I shows the chemical compositions of the investigated alloys. Vacuum-induction-melted ingots with dimensions of 300 × 150 × 50 mm were reheated to 1200 °C for 2 hours and hot rolled with a finishing temperature above 800 °C, followed by air cooling to room temperature. The thickness of the hot-rolled sheets was 4.5 mm. They were pickled in a 10 pct HCl solution and then cold rolled to a thickness of 1 mm. The cold-rolled sheets were annealed using an infrared heating furnace, with heating and cooling rates of 10 °C/s. The intercritical annealing temperatures of 720 °C for the L-Al alloy, taking into account the calculated equilibrium austenite fraction. The holding time at each annealing temperature was 2 minutes. Specimens were prepared by mechanical polishing followed by chemical polishing in a 10 pct HF+H2O2 solution.",766.0,1204.0,15.9
23,3.1,0,0.0,0,0.12,0,0,0,0.0,0.0,0.0,0,90.51,0,0,0,5.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.47,0,0,0.0,0.0,0.0,0,0,0,"Table I shows the chemical compositions of the investigated alloys. Vacuum-induction-melted ingots with dimensions of 300 × 150 × 50 mm were reheated to 1200 °C for 2 hours and hot rolled with a finishing temperature above 800 °C, followed by air cooling to room temperature. The thickness of the hot-rolled sheets was 4.5 mm. They were pickled in a 10 pct HCl solution and then cold rolled to a thickness of 1 mm. The cold-rolled sheets were annealed using an infrared heating furnace, with heating and cooling rates of 10 °C/s. The intercritical annealing temperatures of 720 °C for the H-Al alloy were chosen, taking into account the calculated equilibrium austenite fraction. The holding time at each annealing temperature was 2 minutes. Specimens were prepared by mechanical polishing followed by chemical polishing in a 10 pct HF+H2O2 solution.",814.0,854.0,21.7
24,3.1,0,0.0,0,0.12,0,0,0,0.0,0.0,0.0,0,90.51,0,0,0,5.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.47,0,0,0.0,0.0,0.0,0,0,0,"Table I shows the chemical compositions of the investigated alloys. Vacuum-induction-melted ingots with dimensions of 300 × 150 × 50 mm were reheated to 1200 °C for 2 hours and hot rolled with a finishing temperature above 800 °C, followed by air cooling to room temperature. The thickness of the hot-rolled sheets was 4.5 mm. They were pickled in a 10 pct HCl solution and then cold rolled to a thickness of 1 mm. The cold-rolled sheets were annealed using an infrared heating furnace, with heating and cooling rates of 10 °C/s. The intercritical annealing temperatures of 780 °C for the H-Al alloy were chosen, taking into account the calculated equilibrium austenite fraction. The holding time at each annealing temperature was 2 minutes. Specimens were prepared by mechanical polishing followed by chemical polishing in a 10 pct HF+H2O2 solution.",714.0,994.0,27.5
25,3.1,0,0.0,0,0.12,0,0,0,0.0,0.0,0.0,0,90.51,0,0,0,5.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.47,0,0,0.0,0.0,0.0,0,0,0,"Table I shows the chemical compositions of the investigated alloys. Vacuum-induction-melted ingots with dimensions of 300 × 150 × 50 mm were reheated to 1200 °C for 2 hours and hot rolled with a finishing temperature above 800 °C, followed by air cooling to room temperature. The thickness of the hot-rolled sheets was 4.5 mm. They were pickled in a 10 pct HCl solution and then cold rolled to a thickness of 1 mm. The cold-rolled sheets were annealed using an infrared heating furnace, with heating and cooling rates of 10 °C/s. The intercritical annealing temperatures of 840 °C for the H-Al alloy were chosen, taking into account the calculated equilibrium austenite fraction. The holding time at each annealing temperature was 2 minutes. Specimens were prepared by mechanical polishing followed by chemical polishing in a 10 pct HF+H2O2 solution.",444.0,1161.0,12.4
26,1.11,0,0.0,0,0.2,0,0,0,0.0,0.0,0.91,0,93.723,0,0,0,2.18,0.255,0.0,0,0.032,1.01,0.0,0.0,0,0.0,0,0.58,0,0,0.0,0.0,0.0,0,0,0,"The chemical composition was designed based on our previous study . The steel was melted in a vacuum induction furnace and forged into ingots with a thickness of 80 mm. The ingot was homogenized at 1200 °C for 2 h in a muffle furnace, and then hot rolled to 12 mm plate via six passes with minimum reduction of 20% per pass, followed by quenching to room temperature. The depth of decarburized layer was estimated to be ~0.2 mm during homogenization according to the method proposed in an early study , which was descaled during hot-rolling. The Ac1 and Ac3 temperatures of experimental steel were determined to be 680 °C and 874 °C, respectively, by using thermal dilatometer (DIL805A) as shown in Fig. 1 . In type I, samples were intercritically annealed at 690 °C for 30 min, and then air cooled to room temperature, which were referred henceforth as IA30.  Tensile tests were carried out at room temperature at a strain rate of 0.001 s-1 by using a universal testing machine (WDW-200D), and specimens for tensile test were cut along the rolling direction with dimensions of 25 mm gage and 5 mm in diameter, according to the ASTM-E8 standard. ",829.0,962.0,26.4
27,1.11,0,0.0,0,0.2,0,0,0,0.0,0.0,0.91,0,93.723,0,0,0,2.18,0.255,0.0,0,0.032,1.01,0.0,0.0,0,0.0,0,0.58,0,0,0.0,0.0,0.0,0,0,0,"The chemical composition was designed based on our previous study . The steel was melted in a vacuum induction furnace and forged into ingots with a thickness of 80 mm. The ingot was homogenized at 1200 °C for 2 h in a muffle furnace, and then hot rolled to 12 mm plate via six passes with minimum reduction of 20% per pass, followed by quenching to room temperature. The depth of decarburized layer was estimated to be ~0.2 mm during homogenization according to the method proposed in an early study , which was descaled during hot-rolling. The Ac1 and Ac3 temperatures of experimental steel were determined to be 680 °C and 874 °C, respectively, by using thermal dilatometer (DIL805A) as shown in Fig. 1 . In type I, samples were intercritically annealed at 690 °C for 60 min, and then air cooled to room temperature, which were referred henceforth as IA60.  Tensile tests were carried out at room temperature at a strain rate of 0.001 s-1 by using a universal testing machine (WDW-200D), and specimens for tensile test were cut along the rolling direction with dimensions of 25 mm gage and 5 mm in diameter, according to the ASTM-E8 standard. ",748.0,969.0,30.8
